time,close,high,low,open,volume
2011-03-01 00:00:00,83.426,83.431,83.41,83.415,34
2011-03-01 00:01:00,83.419,83.436,83.419,83.424,15
2011-03-01 00:02:00,83.402,83.417,83.398,83.417,19
2011-03-01 00:03:00,83.403,83.412,83.403,83.405,10
2011-03-01 00:04:00,83.409,83.414,83.403,83.405,25
2011-03-01 00:05:00,83.4,83.41,83.4,83.41,11
2011-03-01 00:06:00,83.384,83.398,83.384,83.398,15
2011-03-01 00:07:00,83.402,83.41,83.382,83.382,23
2011-03-01 00:08:00,83.394,83.4,83.394,83.4,12
2011-03-01 00:09:00,83.386,83.396,83.386,83.39,11
2011-03-01 00:10:00,83.394,83.402,83.388,83.388,15
2011-03-01 00:11:00,83.396,83.396,83.384,83.39,29
2011-03-01 00:12:00,83.4,83.402,83.388,83.394,18
2011-03-01 00:13:00,83.426,83.426,83.4,83.402,29
2011-03-01 00:14:00,83.428,83.428,83.42,83.424,9
2011-03-01 00:15:00,83.416,83.426,83.41,83.426,29
2011-03-01 00:16:00,83.412,83.422,83.396,83.418,36
2011-03-01 00:17:00,83.412,83.416,83.4,83.41,22
2011-03-01 00:18:00,83.438,83.44,83.414,83.414,40
2011-03-01 00:19:00,83.438,83.446,83.436,83.436,20
2011-03-01 00:20:00,83.46,83.46,83.438,83.44,23
2011-03-01 00:21:00,83.428,83.468,83.424,83.462,23
2011-03-01 00:22:00,83.412,83.434,83.406,83.432,43
2011-03-01 00:23:00,83.412,83.416,83.404,83.408,14
2011-03-01 00:24:00,83.412,83.422,83.408,83.414,40
2011-03-01 00:25:00,83.431,83.431,83.398,83.414,62
2011-03-01 00:26:00,83.405,83.44,83.405,83.435,49
2011-03-01 00:27:00,83.415,83.415,83.375,83.407,61
2011-03-01 00:28:00,83.439,83.451,83.41,83.412,73
2011-03-01 00:29:00,83.425,83.454,83.421,83.436,59
2011-03-01 00:30:00,83.484,83.519,83.423,83.423,127
2011-03-01 00:31:00,83.475,83.491,83.472,83.487,56
2011-03-01 00:32:00,83.51,83.513,83.477,83.477,36
2011-03-01 00:33:00,83.504,83.51,83.499,83.508,22
2011-03-01 00:34:00,83.526,83.531,83.507,83.507,31
2011-03-01 00:35:00,83.532,83.543,83.523,83.523,34
2011-03-01 00:36:00,83.513,83.537,83.508,83.534,32
2011-03-01 00:37:00,83.524,83.533,83.502,83.511,27
2011-03-01 00:38:00,83.53,83.53,83.506,83.527,30
2011-03-01 00:39:00,83.515,83.539,83.509,83.527,31
2011-03-01 00:40:00,83.538,83.552,83.515,83.518,38
2011-03-01 00:41:00,83.502,83.535,83.502,83.535,18
2011-03-01 00:42:00,83.507,83.519,83.502,83.504,24
2011-03-01 00:43:00,83.511,83.513,83.499,83.505,9
2011-03-01 00:44:00,83.52,83.537,83.502,83.508,31
2011-03-01 00:45:00,83.51,83.517,83.505,83.517,9
2011-03-01 00:46:00,83.505,83.513,83.505,83.513,10
2011-03-01 00:47:00,83.508,83.51,83.499,83.502,7
2011-03-01 00:48:00,83.504,83.51,83.502,83.505,13
2011-03-01 00:49:00,83.501,83.502,83.493,83.502,11
2011-03-01 00:50:00,83.51,83.51,83.499,83.499,5
2011-03-01 00:51:00,83.496,83.508,83.496,83.508,15
2011-03-01 00:52:00,83.507,83.51,83.498,83.498,8
2011-03-01 00:53:00,83.498,83.507,83.495,83.505,21
2011-03-01 00:54:00,83.528,83.528,83.496,83.496,49
2011-03-01 00:55:00,83.535,83.546,83.508,83.531,46
2011-03-01 00:56:00,83.559,83.57,83.532,83.532,28
2011-03-01 00:57:00,83.558,83.564,83.556,83.561,10
2011-03-01 00:58:00,83.543,83.558,83.538,83.556,13
2011-03-01 00:59:00,83.535,83.543,83.535,83.541,22
2011-03-01 01:00:00,83.542,83.542,83.528,83.533,15
2011-03-01 01:01:00,83.542,83.545,83.536,83.539,10
2011-03-01 01:02:00,83.502,83.538,83.487,83.538,54
2011-03-01 01:03:00,83.528,83.528,83.493,83.499,39
2011-03-01 01:04:00,83.53,83.534,83.52,83.526,25
2011-03-01 01:05:00,83.51,83.534,83.508,83.532,30
2011-03-01 01:06:00,83.528,83.534,83.502,83.508,47
2011-03-01 01:07:00,83.522,83.534,83.52,83.526,24
2011-03-01 01:08:00,83.528,83.532,83.524,83.524,17
2011-03-01 01:09:00,83.522,83.526,83.516,83.526,9
2011-03-01 01:10:00,83.524,83.528,83.52,83.52,17
2011-03-01 01:11:00,83.526,83.532,83.52,83.526,11
2011-03-01 01:12:00,83.532,83.532,83.526,83.528,4
2011-03-01 01:13:00,83.524,83.536,83.522,83.534,13
2011-03-01 01:14:00,83.494,83.522,83.49,83.522,22
2011-03-01 01:15:00,83.508,83.508,83.488,83.492,16
2011-03-01 01:16:00,83.522,83.53,83.51,83.51,20
2011-03-01 01:17:00,83.53,83.538,83.526,83.526,9
2011-03-01 01:18:00,83.518,83.528,83.518,83.528,9
2011-03-01 01:19:00,83.526,83.526,83.518,83.52,7
2011-03-01 01:20:00,83.526,83.528,83.526,83.528,2
2011-03-01 01:21:00,83.512,83.526,83.512,83.522,13
2011-03-01 01:22:00,83.52,83.526,83.514,83.514,11
2011-03-01 01:23:00,83.51,83.516,83.51,83.516,4
2011-03-01 01:24:00,83.502,83.508,83.49,83.508,17
2011-03-01 01:25:00,83.498,83.498,83.498,83.498,1
2011-03-01 01:26:00,83.492,83.498,83.488,83.496,10
2011-03-01 01:27:00,83.494,83.494,83.48,83.49,20
2011-03-01 01:28:00,83.504,83.506,83.492,83.492,10
2011-03-01 01:29:00,83.486,83.506,83.486,83.506,9
2011-03-01 01:30:00,83.486,83.49,83.484,83.49,6
2011-03-01 01:31:00,83.482,83.484,83.482,83.484,2
2011-03-01 01:32:00,83.48,83.484,83.48,83.484,3
2011-03-01 01:33:00,83.48,83.482,83.478,83.478,6
2011-03-01 01:34:00,83.484,83.484,83.478,83.482,7
2011-03-01 01:35:00,83.474,83.486,83.474,83.486,10
2011-03-01 01:36:00,83.484,83.486,83.472,83.472,8
2011-03-01 01:37:00,83.488,83.488,83.486,83.486,4
2011-03-01 01:38:00,83.49,83.49,83.486,83.49,7
2011-03-01 01:39:00,83.472,83.488,83.472,83.488,20
2011-03-01 01:40:00,83.49,83.496,83.472,83.474,29
2011-03-01 01:41:00,83.504,83.504,83.492,83.492,16
2011-03-01 01:42:00,83.46,83.502,83.46,83.502,51
2011-03-01 01:43:00,83.46,83.462,83.456,83.456,10
2011-03-01 01:44:00,83.456,83.462,83.452,83.462,9
2011-03-01 01:45:00,83.438,83.454,83.436,83.454,17
2011-03-01 01:46:00,83.422,83.438,83.418,83.436,40
2011-03-01 01:47:00,83.418,83.432,83.412,83.426,25
2011-03-01 01:48:00,83.456,83.46,83.42,83.42,21
2011-03-01 01:49:00,83.45,83.468,83.448,83.454,35
2011-03-01 01:50:00,83.444,83.448,83.438,83.448,8
2011-03-01 01:51:00,83.452,83.452,83.442,83.442,9
2011-03-01 01:52:00,83.45,83.454,83.442,83.45,17
2011-03-01 01:53:00,83.446,83.454,83.446,83.452,7
2011-03-01 01:54:00,83.45,83.454,83.436,83.444,22
2011-03-01 01:55:00,83.446,83.448,83.438,83.448,13
2011-03-01 01:56:00,83.454,83.462,83.44,83.444,20
2011-03-01 01:57:00,83.456,83.456,83.448,83.45,5
2011-03-01 01:58:00,83.454,83.458,83.454,83.454,11
2011-03-01 01:59:00,83.45,83.458,83.446,83.456,11
2011-03-01 02:00:00,83.45,83.456,83.45,83.454,4
2011-03-01 02:01:00,83.458,83.458,83.454,83.454,5
