time,close,high,low,open,volume
2019-09-03 00:00:00,3.593,3.601,3.592,3.601,15
2019-09-03 00:01:00,3.593,3.596,3.593,3.594,24
2019-09-03 00:02:00,3.591,3.596,3.591,3.594,5
2019-09-03 00:03:00,3.588,3.588,3.588,3.588,1
2019-09-03 00:06:00,3.586,3.588,3.586,3.587,3
2019-09-03 00:07:00,3.588,3.588,3.586,3.588,11
2019-09-03 00:08:00,3.587,3.587,3.587,3.587,1
2019-09-03 00:09:00,3.588,3.588,3.587,3.588,3
2019-09-03 00:19:00,3.591,3.591,3.591,3.591,1
2019-09-03 00:22:00,3.593,3.593,3.593,3.593,1
2019-09-03 00:24:00,3.593,3.593,3.591,3.591,2
2019-09-03 00:31:00,3.591,3.591,3.591,3.591,1
2019-09-03 00:40:00,3.588,3.59,3.588,3.59,2
2019-09-03 00:41:00,3.59,3.591,3.588,3.591,11
2019-09-03 00:55:00,3.593,3.593,3.592,3.592,2
2019-09-03 01:17:00,3.593,3.593,3.592,3.592,8
2019-09-03 01:18:00,3.591,3.591,3.591,3.591,1
2019-09-03 01:25:00,3.593,3.593,3.593,3.593,1
2019-09-03 01:26:00,3.592,3.592,3.591,3.591,3
2019-09-03 01:56:00,3.592,3.592,3.592,3.592,1
2019-09-03 03:11:00,3.592,3.592,3.592,3.592,1
2019-09-03 04:53:00,3.591,3.591,3.589,3.59,8
2019-09-03 04:54:00,3.591,3.591,3.59,3.59,2
2019-09-03 04:56:00,3.59,3.59,3.59,3.59,1
2019-09-03 05:50:00,3.591,3.591,3.591,3.591,1
2019-09-03 06:39:00,3.594,3.594,3.592,3.592,3
2019-09-03 07:02:00,3.592,3.592,3.592,3.592,1
2019-09-03 07:06:00,3.59,3.59,3.59,3.59,1
2019-09-03 07:12:00,3.591,3.591,3.591,3.591,1
2019-09-03 08:57:00,3.594,3.594,3.594,3.594,1
2019-09-03 09:01:00,3.596,3.596,3.596,3.596,1
2019-09-03 09:04:00,3.598,3.598,3.598,3.598,1
2019-09-03 09:29:00,3.596,3.596,3.596,3.596,1
2019-09-03 09:44:00,3.594,3.594,3.594,3.594,1
2019-09-03 09:55:00,3.594,3.594,3.591,3.594,4
2019-09-03 09:57:00,3.596,3.596,3.596,3.596,1
2019-09-03 09:59:00,3.596,3.596,3.594,3.594,2
2019-09-03 10:07:00,3.595,3.595,3.595,3.595,1
2019-09-03 10:29:00,3.591,3.591,3.591,3.591,1
2019-09-03 10:32:00,3.594,3.594,3.592,3.592,3
2019-09-03 10:34:00,3.591,3.593,3.591,3.593,2
2019-09-03 10:39:00,3.591,3.591,3.59,3.59,2
2019-09-03 10:40:00,3.589,3.589,3.589,3.589,1
2019-09-03 10:47:00,3.591,3.591,3.591,3.591,1
2019-09-03 10:52:00,3.589,3.59,3.589,3.59,3
2019-09-03 11:08:00,3.588,3.589,3.588,3.588,3
2019-09-03 11:13:00,3.587,3.588,3.587,3.588,2
2019-09-03 11:21:00,3.588,3.588,3.588,3.588,1
2019-09-03 11:28:00,3.586,3.588,3.586,3.586,5
2019-09-03 11:38:00,3.584,3.584,3.584,3.584,1
2019-09-03 11:58:00,3.582,3.582,3.582,3.582,1
2019-09-03 11:59:00,3.579,3.582,3.579,3.582,2
2019-09-03 12:03:00,3.582,3.582,3.58,3.58,2
2019-09-03 12:08:00,3.582,3.582,3.579,3.58,4
2019-09-03 12:10:00,3.579,3.58,3.579,3.58,2
2019-09-03 12:15:00,3.579,3.579,3.577,3.577,2
2019-09-03 12:20:00,3.577,3.578,3.577,3.577,7
2019-09-03 12:21:00,3.579,3.579,3.579,3.579,1
2019-09-03 12:23:00,3.579,3.579,3.577,3.577,6
2019-09-03 12:24:00,3.577,3.578,3.577,3.577,3
2019-09-03 12:26:00,3.578,3.578,3.578,3.578,1
2019-09-03 12:40:00,3.577,3.577,3.577,3.577,1
2019-09-03 12:43:00,3.574,3.574,3.574,3.574,1
2019-09-03 12:44:00,3.574,3.574,3.574,3.574,1
2019-09-03 13:30:00,3.562,3.565,3.56,3.565,20
2019-09-03 13:31:00,3.565,3.565,3.561,3.561,20
2019-09-03 13:32:00,3.566,3.567,3.562,3.562,8
2019-09-03 13:33:00,3.567,3.567,3.565,3.567,3
2019-09-03 13:34:00,3.565,3.568,3.562,3.566,22
2019-09-03 13:35:00,3.561,3.565,3.561,3.562,10
