time,close,high,low,open,volume
2017-04-02 21:01:00,1.06648,1.06648,1.06612,1.06638,8
2017-04-02 21:02:00,1.06634,1.06634,1.066,1.0661,10
2017-04-02 21:05:00,1.06624,1.06624,1.06612,1.06618,8
2017-04-02 21:07:00,1.06626,1.0663,1.06613,1.0663,4
2017-04-02 21:08:00,1.0663,1.06643,1.0663,1.06642,6
2017-04-02 21:12:00,1.06646,1.06646,1.06646,1.06646,2
2017-04-02 21:13:00,1.06634,1.06646,1.06634,1.06646,4
2017-04-02 21:15:00,1.06624,1.0665,1.06623,1.0665,4
2017-04-02 21:16:00,1.06622,1.06624,1.06611,1.06622,26
2017-04-02 21:17:00,1.0662,1.0662,1.0662,1.0662,1
2017-04-02 21:18:00,1.0664,1.0664,1.06623,1.06623,5
2017-04-02 21:19:00,1.06625,1.06626,1.06624,1.06626,5
2017-04-02 21:20:00,1.06636,1.06636,1.06636,1.06636,1
2017-04-02 21:21:00,1.06644,1.06644,1.06632,1.06632,4
2017-04-02 21:22:00,1.06638,1.06642,1.06624,1.0663,13
2017-04-02 21:23:00,1.06636,1.06649,1.06634,1.06634,11
2017-04-02 21:24:00,1.06626,1.06637,1.06626,1.06636,12
2017-04-02 21:25:00,1.0662,1.06634,1.06608,1.06622,17
2017-04-02 21:26:00,1.06641,1.06641,1.06624,1.06624,14
2017-04-02 21:27:00,1.06616,1.06645,1.06616,1.0664,31
2017-04-02 21:28:00,1.06616,1.06616,1.06616,1.06616,1
2017-04-02 21:29:00,1.06627,1.06627,1.06615,1.06616,9
2017-04-02 21:31:00,1.06634,1.06638,1.06608,1.06631,20
2017-04-02 21:32:00,1.06613,1.06644,1.06613,1.06637,14
2017-04-02 21:33:00,1.06626,1.06632,1.06608,1.06613,23
2017-04-02 21:35:00,1.06622,1.06622,1.06622,1.06622,1
2017-04-02 21:40:00,1.06632,1.06646,1.06632,1.06642,11
2017-04-02 21:41:00,1.06636,1.0664,1.06616,1.06616,10
2017-04-02 21:42:00,1.0662,1.06648,1.06618,1.0662,21
2017-04-02 21:43:00,1.06621,1.06621,1.0662,1.0662,8
2017-04-02 21:44:00,1.06631,1.06631,1.06621,1.06621,2
2017-04-02 21:48:00,1.06636,1.06648,1.06636,1.06648,2
2017-04-02 21:49:00,1.06658,1.06667,1.06653,1.06653,26
2017-04-02 21:50:00,1.06636,1.06654,1.0662,1.06654,28
2017-04-02 21:51:00,1.06632,1.06632,1.06632,1.06632,1
2017-04-02 21:52:00,1.06636,1.06652,1.06636,1.0665,3
2017-04-02 21:53:00,1.06644,1.06652,1.0664,1.06652,4
2017-04-02 21:55:00,1.06619,1.06642,1.06619,1.06628,37
2017-04-02 21:56:00,1.06622,1.06623,1.06619,1.06619,16
2017-04-02 21:57:00,1.06622,1.06622,1.06618,1.0662,21
2017-04-02 21:58:00,1.06622,1.06622,1.06622,1.06622,3
2017-04-02 21:59:00,1.06594,1.06632,1.06592,1.0662,55
2017-04-02 22:00:00,1.06659,1.06659,1.06591,1.06596,74
2017-04-02 22:01:00,1.06654,1.06665,1.06644,1.06656,52
2017-04-02 22:02:00,1.06656,1.06672,1.06642,1.06655,70
2017-04-02 22:03:00,1.06651,1.06658,1.06646,1.06656,35
2017-04-02 22:04:00,1.0665,1.06652,1.06634,1.06652,55
2017-04-02 22:05:00,1.06642,1.0665,1.06638,1.0665,36
2017-04-02 22:06:00,1.06644,1.06651,1.06643,1.06648,9
2017-04-02 22:07:00,1.06637,1.06642,1.06637,1.06642,3
2017-04-02 22:08:00,1.06636,1.06648,1.06636,1.06645,16
2017-04-02 22:09:00,1.06648,1.06648,1.06636,1.06638,7
2017-04-02 22:10:00,1.06646,1.06648,1.0664,1.06648,17
2017-04-02 22:11:00,1.06642,1.06653,1.06637,1.06653,14
2017-04-02 22:12:00,1.06627,1.06648,1.06602,1.06648,72
2017-04-02 22:13:00,1.06626,1.0664,1.0661,1.0662,55
2017-04-02 22:14:00,1.0662,1.06638,1.0662,1.0663,23
2017-04-02 22:15:00,1.06633,1.06638,1.06619,1.06619,8
2017-04-02 22:16:00,1.06636,1.0664,1.06636,1.0664,2
2017-04-02 22:17:00,1.06634,1.06637,1.0663,1.06633,5
2017-04-02 22:18:00,1.06641,1.06641,1.06624,1.06632,23
2017-04-02 22:19:00,1.06643,1.06645,1.06638,1.06641,11
2017-04-02 22:20:00,1.06643,1.06646,1.06643,1.06646,2
2017-04-02 22:21:00,1.0664,1.06645,1.06638,1.06645,7
2017-04-02 22:22:00,1.06636,1.06636,1.06632,1.06633,6
2017-04-02 22:23:00,1.06646,1.06646,1.06639,1.06639,4
2017-04-02 22:24:00,1.06643,1.06648,1.06643,1.06647,5
2017-04-02 22:26:00,1.06652,1.06656,1.06646,1.06646,35
2017-04-02 22:27:00,1.06647,1.06654,1.06647,1.0665,10
2017-04-02 22:28:00,1.06648,1.06652,1.06642,1.06646,25
2017-04-02 22:29:00,1.06652,1.06662,1.06648,1.06648,34
2017-04-02 22:30:00,1.06669,1.06686,1.06654,1.06654,73
2017-04-02 22:31:00,1.06656,1.06672,1.06656,1.06668,15
2017-04-02 22:32:00,1.06666,1.06666,1.0666,1.0666,4
2017-04-02 22:33:00,1.0667,1.06672,1.0666,1.06668,58
2017-04-02 22:34:00,1.06664,1.06671,1.06662,1.0667,15
2017-04-02 22:35:00,1.06669,1.06672,1.06666,1.06666,5
2017-04-02 22:36:00,1.06683,1.06691,1.06671,1.06671,32
2017-04-02 22:37:00,1.06678,1.06684,1.06674,1.06681,16
2017-04-02 22:38:00,1.06676,1.06678,1.06676,1.06676,5
2017-04-02 22:39:00,1.06689,1.06702,1.06676,1.06676,52
2017-04-02 22:40:00,1.06694,1.06694,1.0669,1.0669,8
2017-04-02 22:41:00,1.06704,1.06704,1.06695,1.067,14
2017-04-02 22:42:00,1.06698,1.06706,1.06698,1.06706,8
2017-04-02 22:43:00,1.06704,1.06706,1.067,1.06702,12
2017-04-02 22:44:00,1.06704,1.06706,1.067,1.06706,11
2017-04-02 22:45:00,1.06696,1.06701,1.06691,1.06701,11
2017-04-02 22:46:00,1.06704,1.06704,1.06698,1.06698,6
2017-04-02 22:47:00,1.06711,1.06711,1.06706,1.06706,3
2017-04-02 22:48:00,1.06713,1.06713,1.06713,1.06713,1
2017-04-02 22:49:00,1.06714,1.06714,1.06708,1.06708,4
2017-04-02 22:50:00,1.06713,1.06713,1.06708,1.06711,5
2017-04-02 22:52:00,1.06715,1.06717,1.06708,1.06711,8
2017-04-02 22:53:00,1.0671,1.0671,1.06708,1.0671,4
2017-04-02 22:54:00,1.06708,1.06717,1.06708,1.06716,4
2017-04-02 22:55:00,1.06708,1.06714,1.06707,1.06707,9
2017-04-02 22:56:00,1.06714,1.06714,1.06708,1.06709,13
2017-04-02 22:57:00,1.06716,1.06718,1.06713,1.06713,6
2017-04-02 22:58:00,1.06716,1.06721,1.06716,1.06721,4
2017-04-02 22:59:00,1.06712,1.06712,1.06712,1.06712,3
2017-04-02 23:00:00,1.06714,1.0672,1.0671,1.0671,21
2017-04-02 23:01:00,1.06716,1.06718,1.06714,1.06714,6
2017-04-02 23:02:00,1.06724,1.06724,1.06718,1.06718,4
2017-04-02 23:03:00,1.06726,1.06729,1.06726,1.06729,2
2017-04-02 23:04:00,1.0673,1.0673,1.06724,1.06724,7
2017-04-02 23:05:00,1.06728,1.0673,1.06724,1.06727,5
2017-04-02 23:06:00,1.06731,1.06736,1.0673,1.0673,7
2017-04-02 23:07:00,1.06729,1.06731,1.06722,1.06731,15
2017-04-02 23:08:00,1.06734,1.0674,1.06728,1.0673,9
2017-04-02 23:09:00,1.06728,1.0673,1.06724,1.0673,10
2017-04-02 23:10:00,1.06721,1.06726,1.06721,1.06726,2
2017-04-02 23:11:00,1.06723,1.06725,1.0672,1.0672,10
2017-04-02 23:13:00,1.0672,1.06727,1.0672,1.06725,5
2017-04-02 23:14:00,1.06714,1.06718,1.06714,1.06718,3
2017-04-02 23:15:00,1.06715,1.06718,1.06715,1.06718,4
2017-04-02 23:16:00,1.06712,1.06718,1.06712,1.06718,3
2017-04-02 23:17:00,1.06704,1.06711,1.06704,1.06711,11
2017-04-02 23:18:00,1.0671,1.0671,1.06704,1.06704,8
2017-04-02 23:19:00,1.0671,1.06714,1.06706,1.06706,14
2017-04-02 23:20:00,1.06712,1.06712,1.06708,1.06708,3
2017-04-02 23:21:00,1.06716,1.06716,1.06714,1.06714,2
2017-04-02 23:22:00,1.06708,1.06712,1.06707,1.06712,11
2017-04-02 23:23:00,1.06708,1.06709,1.06702,1.06706,9
2017-04-02 23:24:00,1.06712,1.06712,1.06712,1.06712,2
2017-04-02 23:25:00,1.06716,1.06718,1.06712,1.06712,8
2017-04-02 23:26:00,1.06714,1.06714,1.06711,1.06712,3
2017-04-02 23:27:00,1.06712,1.06712,1.06704,1.06708,8
2017-04-02 23:28:00,1.06712,1.06716,1.06709,1.06709,8
2017-04-02 23:29:00,1.0671,1.0671,1.06707,1.06707,3
2017-04-02 23:30:00,1.06702,1.06706,1.06702,1.06704,3
2017-04-02 23:31:00,1.06697,1.06704,1.06697,1.06704,4
2017-04-02 23:32:00,1.06688,1.06694,1.06688,1.06694,9
2017-04-02 23:33:00,1.06692,1.06692,1.06692,1.06692,1
