time,close,high,low,open,volume
2013-09-01 22:00:00,3.6,3.606,3.596,3.6,5
2013-09-01 22:01:00,3.598,3.602,3.596,3.602,4
2013-09-01 22:02:00,3.602,3.608,3.602,3.604,7
2013-09-01 22:05:00,3.606,3.606,3.606,3.606,1
2013-09-01 22:06:00,3.666,3.672,3.608,3.608,36
2013-09-01 22:07:00,3.67,3.67,3.664,3.664,5
2013-09-01 22:08:00,3.664,3.672,3.656,3.668,17
2013-09-01 22:09:00,3.662,3.662,3.652,3.66,11
2013-09-01 22:10:00,3.662,3.664,3.66,3.66,6
2013-09-01 22:11:00,3.66,3.662,3.66,3.66,5
2013-09-01 22:12:00,3.666,3.666,3.662,3.662,2
2013-09-01 22:13:00,3.666,3.666,3.662,3.662,2
2013-09-01 22:14:00,3.668,3.668,3.668,3.668,1
2013-09-01 22:15:00,3.67,3.67,3.666,3.666,3
2013-09-01 22:16:00,3.67,3.67,3.668,3.668,2
2013-09-01 22:18:00,3.664,3.668,3.664,3.668,4
2013-09-01 22:19:00,3.664,3.666,3.664,3.666,2
2013-09-01 22:20:00,3.66,3.66,3.66,3.66,1
2013-09-01 22:21:00,3.658,3.658,3.658,3.658,1
2013-09-01 22:22:00,3.658,3.658,3.654,3.654,2
2013-09-01 22:23:00,3.652,3.654,3.652,3.654,2
2013-09-01 22:24:00,3.646,3.646,3.646,3.646,1
2013-09-01 22:25:00,3.644,3.646,3.638,3.644,25
2013-09-01 22:26:00,3.646,3.646,3.646,3.646,1
2013-09-01 22:27:00,3.648,3.648,3.648,3.648,1
2013-09-01 22:30:00,3.648,3.652,3.648,3.65,4
2013-09-01 22:32:00,3.646,3.646,3.646,3.646,1
2013-09-01 22:34:00,3.648,3.648,3.648,3.648,1
2013-09-01 22:35:00,3.646,3.646,3.644,3.646,7
2013-09-01 22:36:00,3.644,3.644,3.642,3.644,3
2013-09-01 22:37:00,3.644,3.648,3.644,3.648,4
2013-09-01 22:38:00,3.642,3.644,3.642,3.642,3
2013-09-01 22:39:00,3.642,3.644,3.642,3.644,2
2013-09-01 22:40:00,3.644,3.644,3.644,3.644,1
2013-09-01 22:41:00,3.644,3.644,3.642,3.642,4
2013-09-01 22:43:00,3.642,3.642,3.638,3.638,2
2013-09-01 22:45:00,3.646,3.646,3.646,3.646,1
2013-09-01 22:46:00,3.648,3.648,3.648,3.648,1
2013-09-01 22:47:00,3.646,3.648,3.644,3.646,7
2013-09-01 22:48:00,3.646,3.65,3.644,3.65,7
2013-09-01 22:50:00,3.648,3.652,3.648,3.652,2
2013-09-01 22:51:00,3.648,3.648,3.646,3.646,4
2013-09-01 22:52:00,3.646,3.648,3.644,3.646,5
2013-09-01 22:54:00,3.644,3.646,3.64,3.64,4
2013-09-01 22:56:00,3.646,3.646,3.646,3.646,1
2013-09-01 22:57:00,3.642,3.646,3.64,3.64,4
2013-09-01 22:59:00,3.646,3.646,3.646,3.646,1
2013-09-01 23:03:00,3.644,3.648,3.644,3.644,3
2013-09-01 23:04:00,3.644,3.646,3.642,3.646,4
2013-09-01 23:05:00,3.644,3.644,3.642,3.642,2
2013-09-01 23:07:00,3.646,3.646,3.646,3.646,1
2013-09-01 23:08:00,3.646,3.648,3.646,3.648,2
2013-09-01 23:12:00,3.648,3.648,3.648,3.648,1
2013-09-01 23:13:00,3.646,3.646,3.646,3.646,1
2013-09-01 23:15:00,3.644,3.644,3.644,3.644,1
2013-09-01 23:16:00,3.644,3.646,3.644,3.646,4
2013-09-01 23:17:00,3.644,3.648,3.644,3.648,2
2013-09-01 23:19:00,3.646,3.646,3.646,3.646,1
2013-09-01 23:20:00,3.644,3.644,3.644,3.644,1
