time,close,high,low,open,volume
2016-06-01 06:00:00,447.8,447.875,447.274,447.488,49
2016-06-01 06:01:00,447.775,447.8,447.725,447.75,14
2016-06-01 06:02:00,448.001,448.076,447.8,447.8,22
2016-06-01 06:03:00,447.875,448.001,447.875,447.963,13
2016-06-01 06:04:00,447.875,447.95,447.85,447.85,9
2016-06-01 06:05:00,447.775,447.925,447.75,447.925,13
2016-06-01 06:06:00,447.85,447.85,447.8,447.812,6
2016-06-01 06:07:00,447.65,447.833,447.613,447.802,23
2016-06-01 06:08:00,447.875,447.875,447.6,447.625,24
2016-06-01 06:09:00,447.975,447.975,447.838,447.863,12
2016-06-01 06:10:00,447.875,447.95,447.8,447.95,37
2016-06-01 06:11:00,447.9,447.95,447.825,447.864,20
2016-06-01 06:12:00,447.925,447.95,447.9,447.925,5
2016-06-01 06:13:00,447.95,447.975,447.95,447.95,3
2016-06-01 06:14:00,448.05,448.075,447.975,447.975,8
2016-06-01 06:15:00,448.05,448.075,448.0,448.013,6
2016-06-01 06:16:00,448.125,448.15,448.075,448.075,11
2016-06-01 06:17:00,448.225,448.326,448.1,448.1,18
2016-06-01 06:18:00,448.125,448.238,448.1,448.238,10
2016-06-01 06:19:00,448.301,448.326,448.15,448.175,9
2016-06-01 06:20:00,448.451,448.451,448.401,448.401,5
2016-06-01 06:21:00,448.376,448.426,448.325,448.426,14
2016-06-01 06:22:00,448.376,448.451,448.325,448.351,9
2016-06-01 06:23:00,448.325,448.476,448.325,448.35,26
2016-06-01 06:24:00,448.35,448.35,448.325,448.35,3
2016-06-01 06:25:00,448.451,448.451,448.325,448.325,10
2016-06-01 06:26:00,448.4,448.476,448.35,448.375,10
2016-06-01 06:27:00,448.25,448.375,448.25,448.375,18
2016-06-01 06:28:00,448.375,448.375,448.275,448.275,9
2016-06-01 06:29:00,448.375,448.4,448.3,448.4,5
2016-06-01 06:30:00,448.4,448.417,448.325,448.35,14
2016-06-01 06:31:00,448.35,448.408,448.325,448.375,10
2016-06-01 06:32:00,448.2,448.325,448.175,448.325,7
2016-06-01 06:33:00,448.175,448.2,448.175,448.175,3
2016-06-01 06:34:00,448.2,448.325,448.175,448.2,15
2016-06-01 06:35:00,448.1,448.275,448.1,448.175,14
2016-06-01 06:36:00,448.05,448.075,448.025,448.05,11
2016-06-01 06:37:00,448.075,448.075,448.075,448.075,1
2016-06-01 06:38:00,448.125,448.125,448.05,448.1,6
2016-06-01 06:39:00,447.924,448.225,447.849,448.183,25
2016-06-01 06:40:00,448.024,448.048,447.899,447.899,14
2016-06-01 06:41:00,448.075,448.15,448.024,448.049,24
2016-06-01 06:42:00,448.225,448.25,448.1,448.1,9
2016-06-01 06:43:00,448.25,448.25,448.225,448.25,3
2016-06-01 06:44:00,448.175,448.225,448.125,448.225,9
2016-06-01 06:45:00,448.099,448.25,448.099,448.2,9
2016-06-01 06:46:00,448.074,448.149,448.074,448.124,3
2016-06-01 06:47:00,448.099,448.149,448.087,448.099,7
2016-06-01 06:48:00,448.124,448.149,448.099,448.124,7
2016-06-01 06:49:00,448.199,448.248,448.099,448.149,20
2016-06-01 06:50:00,448.199,448.325,448.174,448.224,13
2016-06-01 06:51:00,448.174,448.174,448.174,448.174,1
2016-06-01 06:52:00,448.224,448.262,447.999,448.074,25
2016-06-01 06:53:00,448.099,448.199,448.099,448.199,13
2016-06-01 06:54:00,447.999,448.099,447.974,448.087,14
2016-06-01 06:55:00,448.049,448.124,447.924,447.924,17
2016-06-01 06:56:00,448.174,448.199,448.074,448.074,12
2016-06-01 06:57:00,448.049,448.149,448.049,448.149,7
2016-06-01 06:58:00,447.999,448.174,447.999,448.024,12
2016-06-01 06:59:00,447.773,448.124,447.75,448.024,27
2016-06-01 07:00:00,447.999,448.024,447.749,447.816,259
2016-06-01 07:01:00,447.798,448.099,447.548,448.011,152
2016-06-01 07:02:00,447.623,447.824,447.373,447.824,97
