time,close,high,low,open,volume
2009-03-02 00:00:00,8.663,8.663,8.623,8.633,46
2009-03-02 00:01:00,8.643,8.663,8.638,8.66,25
2009-03-02 00:02:00,8.668,8.67,8.643,8.645,21
2009-03-02 00:03:00,8.672,8.672,8.66,8.66,13
2009-03-02 00:04:00,8.68,8.685,8.668,8.67,16
2009-03-02 00:05:00,8.692,8.692,8.668,8.677,16
2009-03-02 00:06:00,8.672,8.69,8.67,8.69,11
2009-03-02 00:07:00,8.653,8.672,8.653,8.67,9
2009-03-02 00:08:00,8.64,8.655,8.64,8.655,10
2009-03-02 00:09:00,8.648,8.648,8.63,8.638,14
2009-03-02 00:10:00,8.653,8.655,8.643,8.645,12
2009-03-02 00:11:00,8.665,8.665,8.658,8.658,4
2009-03-02 00:12:00,8.67,8.67,8.655,8.663,6
2009-03-02 00:13:00,8.673,8.673,8.66,8.663,8
2009-03-02 00:14:00,8.675,8.675,8.668,8.67,4
2009-03-02 00:15:00,8.675,8.675,8.673,8.673,4
2009-03-02 00:16:00,8.66,8.673,8.658,8.673,4
2009-03-02 00:17:00,8.668,8.668,8.663,8.663,6
2009-03-02 00:18:00,8.658,8.658,8.658,8.658,1
2009-03-02 00:19:00,8.67,8.67,8.66,8.66,5
2009-03-02 00:20:00,8.673,8.673,8.665,8.665,4
2009-03-02 00:21:00,8.68,8.68,8.673,8.677,5
2009-03-02 00:22:00,8.682,8.685,8.673,8.673,8
2009-03-02 00:24:00,8.68,8.68,8.675,8.675,3
2009-03-02 00:25:00,8.677,8.677,8.677,8.677,1
2009-03-02 00:26:00,8.675,8.685,8.675,8.682,6
2009-03-02 00:27:00,8.677,8.682,8.677,8.682,2
2009-03-02 00:28:00,8.673,8.675,8.673,8.675,2
2009-03-02 00:29:00,8.68,8.68,8.677,8.677,2
2009-03-02 00:31:00,8.673,8.677,8.673,8.677,5
2009-03-02 00:32:00,8.68,8.68,8.673,8.675,5
2009-03-02 00:33:00,8.675,8.682,8.675,8.675,5
2009-03-02 00:35:00,8.677,8.677,8.673,8.673,2
2009-03-02 00:36:00,8.673,8.673,8.673,8.673,1
2009-03-02 00:38:00,8.675,8.675,8.675,8.675,1
