time,close,high,low,open,volume
2016-03-01 00:00:00,1.3539,1.35404,1.35383,1.35383,38
2016-03-01 00:01:00,1.35369,1.35392,1.35369,1.3539,31
2016-03-01 00:02:00,1.3537,1.35374,1.35349,1.3537,53
2016-03-01 00:03:00,1.35401,1.35401,1.35369,1.3537,19
2016-03-01 00:04:00,1.35401,1.35404,1.35395,1.35401,34
2016-03-01 00:05:00,1.35379,1.35396,1.35375,1.35396,16
2016-03-01 00:06:00,1.35403,1.35405,1.35378,1.35378,34
2016-03-01 00:07:00,1.354,1.35403,1.354,1.35403,7
2016-03-01 00:09:00,1.35402,1.35404,1.35399,1.354,14
2016-03-01 00:10:00,1.35402,1.35402,1.35402,1.35402,2
2016-03-01 00:11:00,1.35404,1.35412,1.35402,1.35403,26
2016-03-01 00:12:00,1.35422,1.35424,1.35404,1.35404,15
2016-03-01 00:13:00,1.35418,1.35468,1.35416,1.35422,60
2016-03-01 00:14:00,1.3542,1.3542,1.35418,1.35418,20
2016-03-01 00:15:00,1.3544,1.35462,1.35419,1.35419,65
2016-03-01 00:16:00,1.35444,1.35444,1.35444,1.35444,5
2016-03-01 00:17:00,1.35442,1.35446,1.35441,1.35446,12
2016-03-01 00:18:00,1.3542,1.35442,1.35414,1.35442,25
2016-03-01 00:19:00,1.35428,1.35428,1.35406,1.35416,12
2016-03-01 00:20:00,1.3544,1.35442,1.35434,1.35434,10
2016-03-01 00:21:00,1.35419,1.3544,1.35419,1.3544,36
2016-03-01 00:23:00,1.35404,1.35423,1.35402,1.35423,18
2016-03-01 00:24:00,1.35396,1.354,1.35395,1.354,6
2016-03-01 00:25:00,1.354,1.354,1.35396,1.35396,9
2016-03-01 00:26:00,1.35406,1.35406,1.354,1.354,12
2016-03-01 00:27:00,1.35406,1.35406,1.35404,1.35406,9
2016-03-01 00:28:00,1.35401,1.35402,1.35401,1.35402,2
2016-03-01 00:29:00,1.35406,1.35408,1.35388,1.35396,19
2016-03-01 00:30:00,1.35462,1.35462,1.35396,1.35404,150
2016-03-01 00:31:00,1.35444,1.35478,1.35442,1.3546,59
2016-03-01 00:32:00,1.35454,1.35454,1.35434,1.35444,19
2016-03-01 00:33:00,1.35453,1.35457,1.35452,1.35454,11
