time,close,high,low,open,volume
2009-03-02 00:01:00,5.061,5.061,5.061,5.061,1
2009-03-02 00:02:00,5.061,5.061,5.061,5.061,1
2009-03-02 00:08:00,5.081,5.081,5.081,5.081,1
2009-03-02 00:17:00,5.131,5.131,5.131,5.131,1
2009-03-02 00:18:00,5.131,5.131,5.131,5.131,1
2009-03-02 00:24:00,5.136,5.136,5.136,5.136,1
2009-03-02 00:26:00,5.136,5.136,5.136,5.136,1
2009-03-02 00:49:00,5.141,5.141,5.141,5.141,1
2009-03-02 03:05:00,5.134,5.134,5.134,5.134,1
2009-03-02 04:06:00,5.122,5.122,5.122,5.122,1
2009-03-02 04:08:00,5.112,5.112,5.112,5.112,1
2009-03-02 04:11:00,5.102,5.102,5.102,5.102,1
2009-03-02 07:15:00,5.097,5.097,5.097,5.097,1
2009-03-02 07:27:00,5.092,5.092,5.092,5.092,1
2009-03-02 08:09:00,5.082,5.082,5.082,5.082,1
2009-03-02 08:39:00,5.047,5.047,5.047,5.047,1
2009-03-02 08:41:00,5.032,5.032,5.032,5.032,1
2009-03-02 11:00:00,5.012,5.012,5.012,5.012,1
2009-03-02 15:30:00,5.003,5.013,4.993,4.993,6
2009-03-02 15:32:00,5.0,5.0,4.99,4.99,3
2009-03-02 15:33:00,4.998,4.998,4.998,4.998,1
2009-03-02 15:34:00,4.993,4.993,4.993,4.993,1
2009-03-02 15:36:00,5.003,5.003,5.003,5.003,1
2009-03-02 15:37:00,5.003,5.003,5.003,5.003,1
2009-03-02 15:41:00,4.983,5.0,4.983,5.0,2
2009-03-02 15:42:00,4.978,4.985,4.978,4.985,2
2009-03-02 15:43:00,4.97,4.983,4.97,4.983,6
2009-03-02 15:44:00,4.968,4.975,4.968,4.975,4
2009-03-02 15:45:00,4.963,4.968,4.963,4.965,4
2009-03-02 15:46:00,4.96,4.973,4.96,4.973,4
2009-03-02 15:53:00,4.958,4.958,4.955,4.955,2
2009-03-02 15:57:00,4.963,4.963,4.963,4.963,1
2009-03-02 15:59:00,4.96,4.96,4.96,4.96,1
2009-03-02 16:03:00,4.953,4.958,4.953,4.958,2
2009-03-02 16:05:00,4.946,4.946,4.946,4.946,1
2009-03-02 16:06:00,4.941,4.941,4.941,4.941,1
2009-03-02 16:07:00,4.95,4.95,4.948,4.948,2
2009-03-02 16:09:00,4.943,4.943,4.943,4.943,1
2009-03-02 16:11:00,4.938,4.938,4.938,4.938,1
2009-03-02 16:16:00,4.923,4.933,4.923,4.933,2
2009-03-02 16:17:00,4.918,4.918,4.918,4.918,1
2009-03-02 16:21:00,4.948,4.948,4.936,4.936,3
2009-03-02 16:35:00,4.938,4.938,4.938,4.938,1
2009-03-02 16:46:00,4.926,4.926,4.926,4.926,1
2009-03-02 16:48:00,4.921,4.921,4.921,4.921,1
2009-03-02 16:56:00,4.908,4.908,4.908,4.908,1
2009-03-02 17:02:00,4.903,4.903,4.903,4.903,1
2009-03-02 17:03:00,4.903,4.903,4.903,4.903,1
2009-03-02 17:12:00,4.913,4.913,4.913,4.913,1
2009-03-02 17:13:00,4.918,4.918,4.918,4.918,1
2009-03-02 17:38:00,4.913,4.913,4.913,4.913,1
2009-03-02 17:39:00,4.948,4.948,4.948,4.948,1
2009-03-02 17:49:00,4.951,4.951,4.951,4.951,1
2009-03-02 18:11:00,4.933,4.933,4.933,4.933,1
2009-03-02 18:15:00,4.943,4.943,4.943,4.943,1
2009-03-02 18:41:00,4.936,4.938,4.936,4.938,2
2009-03-02 18:59:00,4.961,4.961,4.961,4.961,1
2009-03-02 19:12:00,4.958,4.958,4.958,4.958,1
2009-03-02 19:13:00,4.943,4.953,4.943,4.953,2
2009-03-02 19:14:00,4.926,4.936,4.926,4.936,3
2009-03-03 00:00:00,4.939,4.954,4.939,4.946,3
2009-03-03 00:01:00,4.941,4.941,4.941,4.941,1
2009-03-03 00:02:00,4.946,4.946,4.946,4.946,1
2009-03-03 00:07:00,4.958,4.958,4.958,4.958,1
2009-03-03 02:12:00,4.966,4.966,4.966,4.966,1
2009-03-03 02:59:00,4.966,4.966,4.966,4.966,1
2009-03-03 03:16:00,4.961,4.961,4.961,4.961,1
2009-03-03 03:19:00,4.974,4.974,4.974,4.974,1
2009-03-03 08:28:00,4.969,4.969,4.969,4.969,1
2009-03-03 08:29:00,4.969,4.969,4.969,4.969,1
2009-03-03 15:30:00,4.97,4.97,4.97,4.97,1
2009-03-03 15:34:00,4.965,4.965,4.965,4.965,1
2009-03-03 15:35:00,4.949,4.949,4.949,4.949,1
2009-03-03 15:36:00,4.944,4.944,4.944,4.944,1
2009-03-03 15:42:00,4.955,4.955,4.955,4.955,1
2009-03-03 15:53:00,4.94,4.94,4.94,4.94,1
2009-03-03 16:01:00,4.905,4.905,4.905,4.905,1
2009-03-03 16:10:00,4.89,4.89,4.89,4.89,1
2009-03-03 16:11:00,4.885,4.885,4.885,4.885,1
2009-03-03 16:12:00,4.885,4.885,4.885,4.885,1
2009-03-03 16:14:00,4.875,4.875,4.875,4.875,1
2009-03-03 16:15:00,4.875,4.875,4.875,4.875,1
2009-03-03 16:29:00,4.922,4.922,4.922,4.922,1
2009-03-03 16:43:00,4.88,4.88,4.875,4.875,2
2009-03-03 17:19:00,4.902,4.902,4.902,4.902,1
2009-03-03 17:42:00,4.91,4.91,4.91,4.91,1
2009-03-03 17:46:00,4.92,4.92,4.92,4.92,1
2009-03-03 17:48:00,4.922,4.922,4.922,4.922,1
2009-03-03 17:50:00,4.922,4.922,4.922,4.922,1
2009-03-03 19:05:00,4.91,4.91,4.91,4.91,1
2009-03-04 10:05:00,4.956,4.956,4.956,4.956,1
2009-03-04 15:30:00,4.981,4.981,4.956,4.956,2
2009-03-04 15:31:00,4.991,4.991,4.991,4.991,1
2009-03-04 15:33:00,5.056,5.056,5.046,5.046,2
2009-03-04 15:34:00,5.043,5.046,5.043,5.046,2
2009-03-04 15:35:00,5.038,5.038,5.038,5.038,1
2009-03-04 15:41:00,5.046,5.051,5.046,5.051,2
2009-03-04 15:42:00,5.056,5.056,5.056,5.056,1
2009-03-04 15:43:00,5.046,5.046,5.046,5.046,1
2009-03-04 15:57:00,5.086,5.086,5.086,5.086,1
2009-03-04 16:07:00,5.071,5.073,5.071,5.073,2
2009-03-04 16:39:00,5.068,5.068,5.068,5.068,1
2009-03-04 18:41:00,5.108,5.108,5.108,5.108,1
2009-03-04 19:06:00,5.096,5.096,5.096,5.096,1
2009-03-04 19:13:00,5.098,5.098,5.098,5.098,1
2009-03-05 00:00:00,5.136,5.136,5.136,5.136,1
2009-03-05 01:22:00,5.149,5.149,5.149,5.149,1
2009-03-05 15:30:00,5.045,5.045,5.045,5.045,1
2009-03-05 15:34:00,5.058,5.058,5.058,5.058,1
2009-03-05 15:36:00,5.075,5.075,5.072,5.072,2
2009-03-05 15:37:00,5.072,5.072,5.072,5.072,1
2009-03-05 15:39:00,5.07,5.07,5.07,5.07,1
2009-03-05 15:41:00,5.087,5.087,5.087,5.087,1
2009-03-05 16:01:00,5.067,5.067,5.067,5.067,1
2009-03-05 16:05:00,5.063,5.063,5.063,5.063,1
2009-03-05 16:15:00,5.038,5.038,5.038,5.038,1
2009-03-05 16:59:00,5.03,5.03,5.03,5.03,1
2009-03-05 17:37:00,5.033,5.033,5.033,5.033,1
2009-03-05 17:49:00,5.033,5.033,5.033,5.033,1
2009-03-05 18:52:00,5.02,5.02,5.02,5.02,1
2009-03-05 19:04:00,5.038,5.038,5.038,5.038,1
2009-03-05 19:14:00,5.018,5.023,5.018,5.023,2
2009-03-06 08:21:00,5.071,5.071,5.071,5.071,1
2009-03-06 11:56:00,5.091,5.091,5.086,5.086,2
2009-03-06 15:38:00,5.091,5.091,5.082,5.082,2
2009-03-06 17:08:00,5.092,5.092,5.092,5.092,1
2009-03-06 17:15:00,5.092,5.092,5.092,5.092,1
2009-03-06 17:16:00,5.204,5.204,5.204,5.204,1
2009-03-06 17:23:00,5.211,5.211,5.209,5.209,2
2009-03-06 17:25:00,5.194,5.199,5.194,5.199,2
2009-03-06 18:45:00,5.204,5.204,5.204,5.204,1
2009-03-06 18:46:00,5.212,5.212,5.212,5.212,1
2009-03-06 18:58:00,5.199,5.199,5.199,5.199,1
2009-03-06 19:09:00,5.174,5.174,5.174,5.174,1
2009-03-06 19:10:00,5.182,5.182,5.182,5.182,1
2009-03-06 19:11:00,5.174,5.174,5.174,5.174,1
2009-03-06 19:13:00,5.169,5.169,5.169,5.169,1
2009-03-08 23:00:00,5.208,5.208,5.208,5.208,1
2009-03-09 02:07:00,5.275,5.275,5.275,5.275,1
2009-03-09 09:56:00,5.196,5.196,5.196,5.196,1
2009-03-09 14:31:00,5.229,5.229,5.229,5.229,1
2009-03-09 14:35:00,5.154,5.154,5.154,5.154,1
2009-03-09 14:39:00,5.186,5.186,5.186,5.186,1
2009-03-09 14:44:00,5.156,5.156,5.156,5.156,1
2009-03-09 14:45:00,5.161,5.161,5.161,5.161,1
2009-03-09 14:47:00,5.179,5.179,5.179,5.179,1
2009-03-09 14:57:00,5.151,5.151,5.151,5.151,1
2009-03-09 14:58:00,5.151,5.151,5.151,5.151,1
2009-03-09 14:59:00,5.146,5.146,5.146,5.146,1
2009-03-09 15:03:00,5.136,5.136,5.136,5.136,1
2009-03-09 15:14:00,5.119,5.119,5.119,5.119,1
2009-03-09 15:45:00,5.149,5.149,5.149,5.149,1
2009-03-09 15:53:00,5.156,5.159,5.156,5.159,2
2009-03-09 16:14:00,5.152,5.152,5.152,5.152,1
2009-03-09 17:12:00,5.122,5.122,5.122,5.122,1
2009-03-09 17:17:00,5.124,5.124,5.124,5.124,1
2009-03-09 17:34:00,5.127,5.127,5.127,5.127,1
2009-03-09 17:38:00,5.134,5.139,5.134,5.139,2
2009-03-09 17:42:00,5.144,5.144,5.144,5.144,1
2009-03-09 17:47:00,5.157,5.157,5.157,5.157,1
2009-03-09 17:57:00,5.152,5.152,5.152,5.152,1
2009-03-09 17:59:00,5.144,5.144,5.144,5.144,1
2009-03-09 18:05:00,5.152,5.152,5.152,5.152,1
2009-03-09 18:06:00,5.157,5.157,5.157,5.157,1
2009-03-09 18:07:00,5.149,5.152,5.149,5.152,2
2009-03-09 18:09:00,5.152,5.152,5.152,5.152,1
2009-03-09 18:12:00,5.134,5.134,5.134,5.134,1
2009-03-09 18:14:00,5.119,5.124,5.119,5.124,2
2009-03-10 01:18:00,5.147,5.147,5.147,5.147,1
2009-03-10 09:09:00,5.14,5.14,5.14,5.14,1
2009-03-10 14:30:00,5.248,5.248,5.248,5.248,1
2009-03-10 14:35:00,5.243,5.243,5.243,5.243,1
2009-03-10 14:38:00,5.243,5.255,5.243,5.255,2
2009-03-10 14:39:00,5.24,5.24,5.24,5.24,1
2009-03-10 14:47:00,5.226,5.226,5.226,5.226,1
2009-03-10 14:50:00,5.236,5.236,5.236,5.236,1
2009-03-10 15:28:00,5.266,5.266,5.266,5.266,1
2009-03-10 15:29:00,5.268,5.268,5.268,5.268,1
2009-03-10 15:30:00,5.271,5.271,5.271,5.271,1
2009-03-10 15:33:00,5.271,5.271,5.271,5.271,1
2009-03-10 16:44:00,5.263,5.263,5.263,5.263,1
2009-03-10 16:51:00,5.276,5.276,5.276,5.276,1
2009-03-10 17:27:00,5.233,5.233,5.233,5.233,1
2009-03-10 17:45:00,5.266,5.266,5.266,5.266,1
2009-03-10 17:59:00,5.246,5.246,5.246,5.246,1
2009-03-10 18:01:00,5.228,5.228,5.228,5.228,1
2009-03-10 18:06:00,5.233,5.233,5.233,5.233,1
2009-03-10 18:10:00,5.208,5.208,5.208,5.208,1
2009-03-10 18:11:00,5.221,5.221,5.221,5.221,1
2009-03-11 01:25:00,5.226,5.226,5.226,5.226,1
2009-03-11 01:29:00,5.214,5.214,5.214,5.214,1
2009-03-11 01:31:00,5.214,5.214,5.214,5.214,1
2009-03-11 02:04:00,5.221,5.221,5.221,5.221,1
2009-03-11 04:58:00,5.216,5.216,5.216,5.216,1
2009-03-11 10:43:00,5.222,5.222,5.222,5.222,1
2009-03-11 14:30:00,5.18,5.197,5.18,5.197,2
2009-03-11 14:31:00,5.172,5.172,5.172,5.172,1
2009-03-11 14:33:00,5.172,5.172,5.172,5.172,1
2009-03-11 14:35:00,5.152,5.152,5.152,5.152,1
2009-03-11 14:37:00,5.145,5.157,5.145,5.157,2
2009-03-11 14:40:00,5.145,5.15,5.145,5.15,2
2009-03-11 14:41:00,5.152,5.152,5.142,5.142,2
2009-03-11 14:43:00,5.157,5.157,5.157,5.157,1
2009-03-11 14:44:00,5.157,5.157,5.155,5.155,2
2009-03-11 14:55:00,5.16,5.16,5.16,5.16,1
