time,close,high,low,open,volume
2012-07-01 22:00:00,84.656,84.736,84.397,84.397,63
2012-07-01 22:01:00,84.626,84.696,84.606,84.646,26
2012-07-01 22:02:00,84.746,84.766,84.596,84.636,35
2012-07-01 22:03:00,84.686,84.796,84.686,84.766,18
2012-07-01 22:04:00,84.636,84.736,84.616,84.676,24
2012-07-01 22:05:00,84.656,84.676,84.626,84.676,7
2012-07-01 22:06:00,84.606,84.696,84.606,84.626,12
2012-07-01 22:07:00,84.626,84.626,84.626,84.626,1
2012-07-01 22:08:00,84.576,84.616,84.566,84.606,10
2012-07-01 22:09:00,84.547,84.586,84.547,84.566,9
2012-07-01 22:10:00,84.596,84.606,84.547,84.567,17
2012-07-01 22:11:00,84.626,84.626,84.626,84.626,1
2012-07-01 22:12:00,84.596,84.606,84.596,84.606,2
2012-07-01 22:13:00,84.596,84.616,84.596,84.606,5
2012-07-01 22:15:00,84.467,84.577,84.457,84.577,16
2012-07-01 22:16:00,84.437,84.487,84.427,84.477,12
2012-07-01 22:17:00,84.377,84.447,84.377,84.447,24
2012-07-01 22:18:00,84.297,84.387,84.297,84.387,46
2012-07-01 22:19:00,84.277,84.327,84.277,84.307,20
2012-07-01 22:20:00,84.327,84.377,84.287,84.287,18
2012-07-01 22:21:00,84.208,84.347,84.028,84.347,84
2012-07-01 22:22:00,84.198,84.218,84.138,84.218,28
2012-07-01 22:23:00,84.327,84.327,84.178,84.178,27
2012-07-01 22:24:00,84.248,84.307,84.218,84.307,12
2012-07-01 22:25:00,84.218,84.268,84.218,84.268,9
2012-07-01 22:26:00,84.278,84.317,84.238,84.248,17
2012-07-01 22:27:00,84.307,84.317,84.248,84.297,38
2012-07-01 22:28:00,84.317,84.317,84.297,84.297,4
2012-07-01 22:29:00,84.337,84.337,84.327,84.327,4
2012-07-01 22:30:00,84.307,84.327,84.307,84.327,3
2012-07-01 22:31:00,84.298,84.298,84.298,84.298,1
2012-07-01 22:33:00,84.307,84.327,84.307,84.327,2
2012-07-01 22:34:00,84.317,84.317,84.298,84.317,5
2012-07-01 22:35:00,84.298,84.308,84.298,84.308,2
2012-07-01 22:36:00,84.308,84.317,84.308,84.308,3
2012-07-01 22:38:00,84.318,84.318,84.318,84.318,1
2012-07-01 22:40:00,84.337,84.337,84.308,84.328,5
2012-07-01 22:41:00,84.308,84.318,84.308,84.318,2
2012-07-01 22:42:00,84.357,84.357,84.328,84.328,3
2012-07-01 22:43:00,84.308,84.347,84.308,84.347,4
2012-07-01 22:44:00,84.347,84.347,84.347,84.347,1
2012-07-01 22:45:00,84.377,84.397,84.318,84.357,13
2012-07-01 22:46:00,84.427,84.427,84.397,84.397,8
2012-07-01 22:47:00,84.377,84.417,84.377,84.387,6
2012-07-01 22:49:00,84.397,84.397,84.397,84.397,1
2012-07-01 22:50:00,84.377,84.387,84.377,84.387,2
2012-07-01 22:51:00,84.387,84.387,84.387,84.387,1
2012-07-01 22:52:00,84.397,84.437,84.397,84.397,16
2012-07-01 22:53:00,84.407,84.407,84.407,84.407,1
2012-07-01 22:54:00,84.387,84.397,84.387,84.397,2
2012-07-01 22:56:00,84.368,84.387,84.368,84.368,6
2012-07-01 22:57:00,84.387,84.387,84.378,84.378,2
2012-07-01 22:58:00,84.397,84.397,84.397,84.397,1
2012-07-01 22:59:00,84.427,84.427,84.407,84.407,2
2012-07-01 23:00:00,84.427,84.447,84.407,84.407,6
2012-07-01 23:01:00,84.427,84.447,84.417,84.447,3
2012-07-01 23:02:00,84.417,84.427,84.407,84.407,3
2012-07-01 23:03:00,84.417,84.417,84.407,84.407,2
2012-07-01 23:04:00,84.437,84.437,84.407,84.407,2
2012-07-01 23:05:00,84.427,84.427,84.427,84.427,1
2012-07-01 23:06:00,84.437,84.437,84.427,84.437,3
