time,close,high,low,open,volume
2019-01-01 23:00:00,1282.075,1282.706,1281.943,1282.645,145
2019-01-01 23:01:00,1282.142,1282.457,1281.974,1282.244,279
2019-01-01 23:02:00,1281.781,1282.146,1281.766,1281.97,168
2019-01-01 23:03:00,1281.9,1282.073,1281.625,1281.931,150
2019-01-01 23:04:00,1281.736,1282.048,1281.538,1281.892,83
2019-01-01 23:05:00,1281.617,1281.654,1281.424,1281.538,118
2019-01-01 23:06:00,1281.528,1281.619,1281.35,1281.467,33
2019-01-01 23:07:00,1281.444,1281.73,1281.36,1281.36,85
2019-01-01 23:08:00,1281.587,1281.759,1281.446,1281.624,67
2019-01-01 23:09:00,1281.848,1281.85,1281.581,1281.748,49
2019-01-01 23:10:00,1281.932,1281.936,1281.692,1281.85,57
2019-01-01 23:11:00,1281.836,1281.935,1281.674,1281.771,33
2019-01-01 23:12:00,1281.835,1281.85,1281.637,1281.673,32
2019-01-01 23:13:00,1281.68,1281.844,1281.456,1281.844,90
2019-01-01 23:14:00,1281.378,1281.678,1281.376,1281.678,88
2019-01-01 23:15:00,1281.169,1281.563,1281.169,1281.563,74
2019-01-01 23:16:00,1281.176,1281.406,1281.152,1281.38,42
2019-01-01 23:17:00,1281.257,1281.272,1281.0,1281.15,131
2019-01-01 23:18:00,1281.368,1281.396,1281.074,1281.109,72
2019-01-01 23:19:00,1281.206,1281.226,1281.206,1281.212,3
2019-01-01 23:20:00,1281.168,1281.372,1280.988,1281.153,70
2019-01-01 23:21:00,1281.176,1281.185,1280.984,1281.008,36
2019-01-01 23:22:00,1280.904,1281.183,1280.896,1280.988,94
2019-01-01 23:23:00,1280.998,1281.158,1280.88,1280.89,51
2019-01-01 23:24:00,1281.181,1281.188,1280.978,1281.156,34
2019-01-01 23:25:00,1281.164,1281.249,1280.996,1281.186,87
2019-01-01 23:26:00,1281.016,1281.165,1281.004,1281.015,25
2019-01-01 23:27:00,1281.147,1281.181,1281.004,1281.156,18
2019-01-01 23:28:00,1280.92,1281.147,1280.878,1281.009,58
2019-01-01 23:29:00,1280.919,1281.076,1280.806,1280.808,74
2019-01-01 23:30:00,1280.912,1281.092,1280.912,1281.073,24
2019-01-01 23:31:00,1280.98,1281.006,1280.814,1280.908,34
2019-01-01 23:32:00,1280.96,1281.064,1280.804,1280.814,44
2019-01-01 23:33:00,1280.881,1280.967,1280.715,1280.802,85
2019-01-01 23:34:00,1280.726,1280.906,1280.712,1280.883,16
2019-01-01 23:35:00,1280.996,1280.998,1280.725,1280.906,29
2019-01-01 23:36:00,1280.835,1281.007,1280.835,1281.003,11
2019-01-01 23:37:00,1281.194,1281.194,1280.855,1280.988,54
2019-01-01 23:38:00,1281.248,1281.303,1281.081,1281.196,77
2019-01-01 23:39:00,1281.318,1281.473,1281.131,1281.252,129
2019-01-01 23:40:00,1281.564,1281.627,1281.314,1281.459,250
2019-01-01 23:41:00,1281.545,1281.603,1281.392,1281.432,69
2019-01-01 23:42:00,1281.405,1281.544,1281.394,1281.407,19
2019-01-01 23:43:00,1281.254,1281.51,1281.25,1281.504,13
2019-01-01 23:44:00,1281.305,1281.46,1281.201,1281.222,55
2019-01-01 23:45:00,1281.502,1281.548,1281.312,1281.312,42
2019-01-01 23:46:00,1281.334,1281.605,1281.323,1281.52,77
2019-01-01 23:47:00,1281.293,1281.457,1281.293,1281.3,21
2019-01-01 23:49:00,1281.132,1281.29,1281.097,1281.149,50
2019-01-01 23:50:00,1281.05,1281.251,1280.868,1281.12,121
2019-01-01 23:51:00,1281.149,1281.156,1280.894,1280.898,39
2019-01-01 23:52:00,1281.012,1281.216,1280.988,1280.996,64
2019-01-01 23:53:00,1281.058,1281.219,1281.003,1281.172,52
2019-01-01 23:54:00,1281.13,1281.272,1281.02,1281.059,58
2019-01-01 23:55:00,1281.18,1281.356,1281.116,1281.248,40
2019-01-01 23:56:00,1281.34,1281.353,1281.17,1281.334,20
2019-01-01 23:57:00,1281.211,1281.367,1281.2,1281.2,16
2019-01-01 23:58:00,1281.296,1281.438,1281.199,1281.367,55
2019-01-01 23:59:00,1281.208,1281.426,1281.158,1281.304,150
2019-01-02 00:00:00,1281.294,1281.466,1281.205,1281.224,90
2019-01-02 00:01:00,1281.444,1281.444,1281.282,1281.432,26
2019-01-02 00:02:00,1281.452,1281.454,1281.287,1281.3,23
2019-01-02 00:03:00,1281.43,1281.463,1281.28,1281.302,40
2019-01-02 00:04:00,1281.424,1281.442,1281.318,1281.32,17
2019-01-02 00:05:00,1281.314,1281.683,1281.228,1281.434,341
2019-01-02 00:06:00,1281.579,1281.608,1281.308,1281.415,160
2019-01-02 00:08:00,1281.726,1281.84,1281.538,1281.698,21
2019-01-02 00:09:00,1281.604,1281.838,1281.542,1281.717,97
2019-01-02 00:10:00,1281.412,1281.532,1281.404,1281.511,19
2019-01-02 00:11:00,1281.633,1281.656,1281.404,1281.52,64
2019-01-02 00:12:00,1281.622,1281.82,1281.516,1281.64,88
2019-01-02 00:13:00,1281.73,1281.857,1281.611,1281.73,94
2019-01-02 00:14:00,1281.72,1281.852,1281.714,1281.848,52
2019-01-02 00:15:00,1281.87,1281.944,1281.702,1281.845,160
2019-01-02 00:16:00,1281.707,1281.9,1281.707,1281.9,32
2019-01-02 00:17:00,1281.805,1281.926,1281.616,1281.808,58
2019-01-02 00:18:00,1281.806,1281.926,1281.782,1281.914,19
2019-01-02 00:19:00,1281.856,1281.907,1281.734,1281.794,57
2019-01-02 00:20:00,1281.738,1281.888,1281.702,1281.742,78
2019-01-02 00:21:00,1281.923,1281.923,1281.722,1281.735,62
2019-01-02 00:22:00,1281.944,1281.948,1281.792,1281.922,27
2019-01-02 00:23:00,1281.832,1281.951,1281.808,1281.81,27
2019-01-02 00:24:00,1281.932,1281.948,1281.81,1281.826,17
2019-01-02 00:25:00,1281.826,1281.972,1281.802,1281.83,71
2019-01-02 00:26:00,1281.748,1281.97,1281.604,1281.94,105
2019-01-02 00:27:00,1281.488,1281.75,1281.474,1281.622,98
2019-01-02 00:28:00,1281.534,1281.668,1281.36,1281.36,79
2019-01-02 00:29:00,1281.673,1281.673,1281.524,1281.528,74
2019-01-02 00:30:00,1281.556,1281.703,1281.53,1281.554,173
2019-01-02 00:31:00,1281.527,1281.663,1281.525,1281.546,56
2019-01-02 00:32:00,1281.454,1281.636,1281.26,1281.5,97
2019-01-02 00:33:00,1281.26,1281.466,1281.146,1281.34,159
2019-01-02 00:34:00,1280.973,1281.289,1280.884,1281.152,216
2019-01-02 00:35:00,1281.094,1281.264,1280.938,1281.086,132
2019-01-02 00:36:00,1280.984,1281.144,1280.966,1280.973,60
2019-01-02 00:37:00,1281.052,1281.056,1280.852,1280.893,101
2019-01-02 00:38:00,1281.076,1281.126,1280.862,1281.056,145
2019-01-02 00:39:00,1281.026,1281.148,1280.959,1281.093,182
2019-01-02 00:40:00,1281.13,1281.136,1281.011,1281.126,13
2019-01-02 00:41:00,1280.832,1281.14,1280.818,1280.999,48
2019-01-02 00:42:00,1280.758,1280.958,1280.743,1280.948,75
2019-01-02 00:43:00,1280.661,1280.781,1280.615,1280.641,172
2019-01-02 00:45:00,1280.942,1280.942,1280.637,1280.637,38
2019-01-02 00:46:00,1280.852,1281.053,1280.744,1280.956,69
2019-01-02 00:47:00,1280.622,1280.849,1280.597,1280.738,139
2019-01-02 00:48:00,1280.736,1280.762,1280.6,1280.601,18
2019-01-02 00:49:00,1280.862,1280.912,1280.64,1280.75,81
2019-01-02 00:50:00,1280.756,1280.876,1280.742,1280.746,20
2019-01-02 00:51:00,1280.651,1280.848,1280.636,1280.742,25
2019-01-02 00:52:00,1280.648,1280.652,1280.479,1280.554,80
2019-01-02 00:53:00,1280.727,1280.8,1280.554,1280.758,80
2019-01-02 00:54:00,1280.574,1280.739,1280.534,1280.621,108
2019-01-02 00:55:00,1280.308,1280.575,1280.308,1280.482,123
2019-01-02 00:56:00,1280.143,1280.343,1280.134,1280.2,36
2019-01-02 00:57:00,1280.078,1280.28,1280.078,1280.268,41
2019-01-02 00:58:00,1280.163,1280.231,1280.043,1280.044,36
2019-01-02 01:00:00,1279.538,1280.282,1279.305,1280.281,516
2019-01-02 01:01:00,1279.219,1279.603,1279.096,1279.434,504
2019-01-02 01:02:00,1279.084,1279.412,1279.084,1279.201,127
2019-01-02 01:03:00,1279.042,1279.48,1279.042,1279.064,330
2019-01-02 01:04:00,1279.522,1279.522,1279.034,1279.15,202
2019-01-02 01:05:00,1279.416,1279.555,1279.334,1279.42,167
2019-01-02 01:06:00,1279.521,1279.641,1279.416,1279.42,166
2019-01-02 01:07:00,1279.633,1279.756,1279.498,1279.498,86
2019-01-02 01:08:00,1280.058,1280.091,1279.614,1279.632,255
2019-01-02 01:09:00,1279.958,1279.968,1279.666,1279.948,148
2019-01-02 01:10:00,1279.816,1280.048,1279.75,1279.854,148
2019-01-02 01:11:00,1279.398,1279.733,1279.398,1279.716,55
2019-01-02 01:12:00,1279.072,1279.398,1278.843,1279.306,242
2019-01-02 01:13:00,1279.06,1279.074,1278.795,1278.958,244
2019-01-02 01:14:00,1279.176,1279.238,1278.943,1279.064,84
2019-01-02 01:15:00,1279.68,1279.808,1279.18,1279.274,246
